index,text,Label
1471,"b'Nah, dari kondisi tersebut justru pengenaan pembebasan PPN tersebut jadi tidak tepat sasaran. sebab itu perlu diatur kembali dengan mempertimbangkan asas keadilan.",positif
9840,b'Sumpah gue ga paham perpajakan anjing,negatif
6653,b'Sri Mulyani menegaskan pemerintah saat ini masih tetap fokus untuk memulihkan ekonomi sehingga ia sangat menyayangkan adanya kegaduhan di tengah masyarakat mengenai isu sembako akan dikenakan PPN.,positif
5740,"b'Pengamat Bisnis Penerbangan AIAC, Arista Atmadjati, menilai belum ada kekompakan antara Menkeu Sri Mulyani dengan Menteri BUMN Erick Thohir. #KapitalismeRugikanBUMN #BUMNPerluSolusiIslam #IslamSelamatkanHartaRakyat'",negatif
10300,b'Pengin ikut kursus perpajakan jadinya',positif
18543,"b'Memangnya, apa pentingnya perbaikan kualitas perumusan kebijakan APBD? , karena sepertiga dari anggaran pemerintah pusat (hampir Rp800 T) di transfer ke daerah. , selain pengelolaan dan penyalurannya ditingkatkan, datanya juga harus lebih mudah dicerna masyarakat.'",positif
19980,b'@tvOneNews Apakah ini suatu kepanikan dari adanya situasi yg sangat mendesak bagi pemerintah yg merasa terbebani oleh minusnya keuangan negara dalam mengatasi problem yg terkait dgn HUTANG .',negatif
17875,"b'@ShamsiAli2 Menurut Prof Mahfud, korupsi terjadi sebelum APBN sah",negatif
12978,"b'@HaryonoSuganda @kompascom Salam plonga plongo, biang ngutang dan impor.",negatif
10711,"b'Kementerian Keuangan sudah senada dengan kami, bahwa PPnBM DTP dapat diperpanjang #NegeriPulihDenganVaksin",positif
20262,"b'@ArieSondang @pariadek99 @msaid_didu MINUM BODREX DULU ! YANG SUBSIDI ? Dana abadi umat yang 3,2 Trilyun dan dana jamaah haji hingga Desember 2018 saja sampai 107 Trilyun, setara 10% dari APBN, ITUPUN DIDAPAT DARI HUTANG ! Gimana caranya disubsidi negara ?",negatif
8589,"b'pmerintah dak akn mengambil tindakan yg sembarangan terkait pajak sembako, seemua itu mash dalam pengkajian..",positif
6456,"b'Saya heran, kenapa pemerintahan @jokowi via @Kemenkumham_RI berbuat seperti pemerintahan kolonial? Mulyani Heran, Dokumen PPN untuk Sembako dan Pendidikan Bocor ke Publik - Bisnis",negatif
7236,b'Dimana yang seharusnya negara yang mengurus hajat hidup orang banyak? malah sebaliknya #PenguasaPemerasRakyat #PenguasaPemerasRakyat akan kena pajak akan kena pajak medis kena pajak kena pajak negeri ni ',negatif
15890,"b'Indonesia berupaya mengoptimalkan potensi pasar negara-negara yang tergabung dalam Uni Ekonomi Eurasia atau EAEU. Tujuannya tidak hanya meningkatkan ekspor, tetapi juga membuka peluang kerja sama transfer teknologi. #Ekonomi #AdadiKompas",positif
9157,"b'@tubirfess Harusnya pake caption ""Bismillah komisaris DJP"" dong'",negatif
20270,"b'@daunsirih5 MINUM BODREX DULU ! YANG SUBSIDI ? Dana abadi umat yang 3,2 Trilyun dan dana jamaah haji hingga Desember 2018 saja sampai 107 Trilyun, 10% dari APBN, ITUPUN DIDAPAT DARI HUTANG ! Gimana caranya disubsidi negara ?",negatif
5398,b'Anak Buah Sri Mulyani soal PPN Sekolah: Untuk Keadilan Indonesia Kuat,positif
13509,"b'7. Lebih lanjut Eko mengusulkan agar pemerintah lebih kreatif mencari objek pajak lain. ""Misalnya, kita kan ada beberapa barang mewah yang impor bisa kita naikkan sedikit. Atau kita bisa memberikan pajak pada produk yang memberikan dampak besar terhadap lingkungan #pajaksembako'",positif
133,b'@YRadianto @PKSejahtera Setelah goreng haji giliran goreng PPN pajak sembako pintar bikin hoax krn sembako kebutuhan pokok',negatif
3310,"b'Kalau PKS nentang, berarti kebijakan benar. Ga ada pajak fee, PKS setuju #PKSSebarHoax",negatif
3759,"b'Tanyarl dari kemarin banyak berita banyak hal-hal baru yang disuruh bayar pajak. Semoga kita semua bisa survive yaa di negeri ini, kuat yuk! : jj_wind_13",negatif
6944,"b'@OposisiCerdas Yth pak @jokowi dan Bu Sri Mulyani @KemenkeuRI. Sembako malah pajaknya naik, sedangkan mobil malah 0% ?? dikaji lagi. Ini memperburuk citra pemerintah terutama pak Jokowi. Semoga Hidayah slalu tercurah kpd Bapak & ibu pemimpin negeri ini. aamiin'",negatif
15790,"b'Pemerintahsn @jokowi melalui Kementerian BUMN terus memperkuat sektor perikanan Indonesia.Rencana perusahaan BUMN Perikanan Indonesia & Perikanan Nusantara, Unk meningkatkan ekspor produk perikanan ke luar negri & meningkatkan kualitas mutu produk & pemberdayaan UMKM",positif
2206,"b'@republikaonline Sila Ke 5 : ""Keadilan Sosial Bagi Seluruh Rakyat Indonesia"" ke Rakyat Kecil memangnya Adil..?? Orang-orang Kaya yg sering Tunggak Pajak..? karena ngejar pajak Orang Kaya gk dapet2, akhirnya Orang Kasta Menengah ke bawah yg Harus jadi Korban..??'",negatif
5381,b'Stafsus Sri Mulyani: Tidak Benar Besok Sembako Dipajaki! Indonesia Kuat,positif
11414,b'Sementara itu manipulator price forwarder jadi menteri bumn dan tukang ngutang jadi mentri keuangan,negatif
2207,"b'@prisma93246654 Apa negara kehabisan uang,sehingga rakyat yg terbebani matrai naik sekarang sembakau mau dikenain pajak kaji ulang dong'",negatif
11261,"b'Menteri Keuangan (Menkeu) Sri Mulyani Indrawati menjelaskan, bagi banyak negara berkembang #LangkahJituPulihkanNKRI",positif
11918,b'MENUJU BEA CUKAI BEDUANG BAIS #ZonaIntegritas #WBK #WBBM #SobatCetar #SobatBCTrk #BeaCukaiMakinBaik #BeaCukaiTarakan #BeaCukaiRI',positif
7122,"b'@PutraWadapi Sdh ga jaman mengusung presiden dari unsur ketua partai. Karna sudah terbukti tidak ada kinerja partai yg membela rakyat, selain bagi2 sembako saat pemilu. partai yg berkoalisi dng rezim.'",negatif
9063,b'Pembocor Draf Revisi UU KUP Harus Diusut dan Diberikan Sanksi,positif
6980,b'@KompasTV Salah sasaran. ke Bu Sri Mulyani donk.itu ide dia.jokowi ga turut campur urusan gituan.aneh.',negatif
10927,"b'Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan mencatat hasil penjualan Cash Waqf Linked Sukuk (CWLS) seri SWR002 pada hari ini, Senin (7/6) mencapai Rp 24,14 miliar.",positif
239,"b'@PNS_Ababil Kendaraan roda dua atau empat bang, pokonya asal jangan bahan sembako, sekolah dan jasa lainnya yang di kasih PPN'",negatif
15609,"b'Dorong Ekspor, Bea Cukai Cirebon kunjungi Sentra UMKM Kota Cirebon.",positif
16841,b'Sudah dari awal pandemi pemerintah nanggung kita. APBN perlu disehatkan kembali. Oleh siapa? Kita! Untuk siapa? Kita! #SalingBantuEkonomi,positif
18906,"b'LAGU , APBD APBN Ribuan Triliun DARI PAJAK PAJAK RAKYAT",negatif
5866,"b'MENTERI Keuangan (Menkeu), Sri Mulyani Indrawati, akhirnya angkat bicara terkait polemik rencana pengenaan Pajak Pertambahan Nilai (PPN) untuk sejumlah bahan pokok (sembako)",positif
4283,"b'Kemenkeu kembali gulirkan beasiswa LPDP untuk Papua dan Papua Barat data LPDP, hingga 31 Mei 2021, tercatat sebanyak 447 orang telah menerima beasiswa LPDP RI yang berhasil dari Papua dan Papua Barat",positif
3545,"b'Watyutink - Soroti Pajak Sembako, Tokoh NU Usul Buzzer Kena PPN",negatif
20407,"b'@antaranews Hanya hukum tembak bisa berantas Tipikor, asalkan hukum tembak bisa berlaku di indonesia, Agar koruptor berkurang!!! DPR dan PEMERINTAH harus berani membuat UUnya, utk atasi APBN defisit. negara cari hutang, koruptor ada dimana mana!",negatif
6073,b'@Azahra69100673 1 Ayo Tolak Provokasi ; Sri Mulyani Minta Masyarakat Tak Termakan Hoaks soal PPN Sembako,positif
8967,b'Sembako dipajakin adalah Hoax Indonesia Kuat,negatif
17334,"b'Rizal Ramli: APBN Saja Kagak Aman, Kok Bisa Dana Haji Aman?",negatif
4754,b'@kompascom Semua dipajakin asal yg korupsi dihukum mati ya @kemenkeu @KPK_RI Bp @jokowi. Nyesek pajak dari rakyat kl sampe disalah gunakan',negatif
7856,b'Informasi yang beredar di masyarakat tentang pengenaan PPN sembako tidak utuh dan menyesatkan #BersatuIndonesiaTangguh #IndonesiaMaju,positif
5689,"b'Pengamat Bisnis Penerbangan AIAC, Arista Atmadjati, menilai belum ada kekompakan antara Menkeu Sri Mulyani dengan Menteri BUMN Erick Thohir. #KapitalismeRugikanBUMN #BUMNPerluSolusiIslam #IslamSelamatkanHartaRakyat'",negatif
18515,b'@me_zhu__Yusra Rakyat bawah siprovokasi ama garong garong apbd',negatif
2474,b'Semua aja dipakein pajak heran dah.',negatif
3709,"b'@Ai_Sherry No words Mba. Sudahlah selama pandemi, sektor pendidikan mati suri, eh ditambah isu pajak.'",negatif
16648,b'Fokus pemerintah saat ini adalah memulihkan Indonesia dari pandemi. APBN sebagai tulang punggung selama pandemi harus disehatkan kembali dengan tetap menjaga momentum pemulihan dan dikelola secara hati-hati.,positif
3946,"b'Lihat di olshop ada cilok.. gmn jadinya, kl cilokpun ada pajak tersendiri.. serba pajak, salah khilafah.. '",negatif
6275,b'@prastow Si goblok.. sok tau amat soal pajak.. dia ngerti ga dulu obama tax brapa?? Trump tax brapa?? Bandingin lagi sm biden.. mulyani mau pajakin uang skolah anak lu & sembako.. makan tu mentri terbaik..',negatif
18946,"b'@renandabachtar Kasihan rakyat , salahnya apa mrk . Harusnya bisa menikmati kekayaan di negeri sendiri , dan negara mensejahterakan , malahan jd bulan2an menikmati kesengsaraan. hrs rakyat yg menanggungnya beban semua ini. berjuang utk rakyat'",negatif
12207,b'Bea Cukai Batam Gagalkan Penyelundupan Benih Lobster di Bandara Hang Nadim,positif
11024,b'@pangreksoo Menteri Keuangan Sri Mulyani menegaskan pemerintah saat ini sedang fokus dalam upaya memulihkan perekonomian. Sehingga ia menyebut pemerintah tidak akan mengenakan pajak baru termasuk kepada barang sembako',positif
3059,b'kenapa orang2 ribut tentang pajak? gue yg ga bayar pajak aja selaw',negatif
744,"b'@Kimberley20101 Sembako itu masih bahan, belum diolah aja udah kena pajak. diolah dan dijual di cafe or resto kena PPN lagi. duplikasi terhadap objek yg sama.'",negatif
10419,"b'Istilah perpajakan dijalanan, .... lagi twips ? #RezimBangkrut'",negatif
11705,"b'Berbagai upaya percepatan implementasi NLE juga telah dilakukan oleh berbagai instansi, salah satunya Bea Cukai yang bersinergi dengan lembaga lain. #BeaCukai",positif
7854,b'Informasi yang beredar di masyarakat tentang pengenaan PPN sembako tidak utuh dan menyesatkan #BersatuIndonesiaTangguh #IndonesiaMaju,positif
8289,"b'Kenapa gak cukai hasil tembakau aja yg dinaikan dari pada ""mungut"" pajak dari sembako, wahai pemerintah pusat?'",negatif
6018,"b'Ayo Jadi Masyarakat yang cerdas, Tolak Provokasi",positif
2477,"b'@jokowi Ya elah pak,,pakk tuh pak pikirin sembako dan sekolah akan kena pajak itu, negara butuh duit sih butuh duit pak, tp ga segitunya juga kelessss'",negatif
122,"b'Jaga Nusantara , sekolah hingga perguruan tinggi tak dikenakan PPN",positif
14396,b'Sandiaga Uno optimistis produk kain tenun Bima tembus pasar ekspor - #INDONESIA,positif
17611,b'Sri Mulyani Akui Tak Mudah Capai Target Pendapatan Negara di 2022: Sri Mulyani mengatakan bahwa pemerintah akan tetap menjaga spirit Anggaran Pendapatan dan Belanja Negara (APBN) sebagai instrumen yang sangat penting.,positif
19971,"b'@kumparan Filosofi hutang negara, dari negara untuk penguasa dibebankan kepada warga'",negatif
2026,"b'@zarazettirazr @NyaiKrokot Beli mobil esemka pagi sore kayak minum obat. Disaat beli mobil nyata gak dikenakan pajak mestinya mobil esemka digratiskan buat rakyat. Tapi sayang, mobilnya fiktif.'",negatif
20100,"b'@bertanyarl Kek nya mereka bakal kicep klo kita bantu ngelunasin hutang negara nder, yaudah gampang nanti kita bantu aja lalu buang mereka yg tidak berguna satu persatu, mau protes? Oh tidak bisa kita bantu nutup hutang negara loh wkwkw'",negatif
4357,b'Sekolah Bakal Kena PPN? Ini Penjelasan Kemenkeu,positif
5268,"b'Sembako Dikenai Pajak, Sri Mulyani Coreng Citra Jokowi yang Pro Rakyat Kecil",negatif
6093,"b'Sri Mulyani Disebut Akan Naikan PPN 12 Persen, Pimpinan DPR: Jangan Berandai-andai",negatif
5549,"b'@Rafacan_ ""Dibentur-benturkan seolah-olah PPnBM untuk mobil diberikan, sembako dipajaki. Itu kan memang teknik hoax yang bagus banget memang. Jadi kita perlu untuk menyeimbangkan,"" kata Sri Mulyani, Kamis (10/6).'",positif
16751,b'APBN Untuk Membangun Kesejahteraan Papua Agar Terealisasikan #LangkahJituPulihkanNKRI,positif
5960,b'Sri Mulyani Balas Sindiran PPNBM dan PPN Sembako: Hoaks Bagus Provokasi',positif
2177,"b'@msaid_didu @realAbikaTrader Kalo jadi oposisi gak ada duitnya, makanya semua dipikat, dan memang banyak yg terpikat. sih ditinggalkan, lihat saja beragam pajak baru akan diamini tanpa peduli lagi derita rakyat.'",negatif
12084,"b'Cegah Penyelundupan, Bea Cukai Gandeng KPLP dan Polairud Patroli Laut Bersama di Perairan Kepri",positif
9997,b'Mereformasi sistem perpajakan supaya lebih adil dan tepat sasaran #LangkahJituPulihkanNKRI #IndonesiaMaju,positif
19605,b'@CNNIndonesia Berarti benar isue tersebut kirain Hoax....apa sy bilang klu negara banyak hutang....nantinya akan menjadi beban rakyat',negatif
12734,b'@RemajaKolonial @prastow Harga beras naik; para middle men akan menekan petani utk menurunkan harga gabahnya; dan petani semakin terjepit. Harga beras naik juga dimanfaatkan para pemburu rente utk menjustifikasi impor beras utk alasan stabilisasi harga beras dalam negeri.',negatif
18754,"b'@mochamadarip Bukan malas. Tapi hrs bayar upeti ke partai, agar tetap . Artinya: APBD berkurang. Belum lagi untuk byr modal kerja.'",negatif
19906,b'@Mislimin5 Semua jth tempo byr bunga hutang kas negara kosong kalab jdnya',negatif
16336,"b'@muanridhani Defisit APBN sih berkurang, defisit rakyat yg nambah '",negatif
10746,b'mempromosikan diri bakal menjadi Menkeu atau Menteri BUMN. Isu ini membuat para Dirjen di Kementerian Keuangan (Kemenkeu) mengancam akan mundur bila Rizal Ramli jadi Menkeu. lamli gede bacot,negatif
8519,"b'Paling bentar lagi pajak sembako juga udah jalan. Soalnya udah dikasih poster yang nunjukin fakta dan hoax. Kayak yang udah""sih, contohnya RUU KPK, Ketenagakerjaan, Amdal. Semuanya udah jalan. Bentar lagi juga masyarakat diplintir sama berita2 yang ga penting, biar ga concern.'",negatif
9861,"b'Waspada Provokasi soal isu sembako kena PPN. Cek fakta, benar atau salahnya pada UU perpajakan",positif
6851,b'INFOGRAFIS: Jurus Pajak Sri Mulyani Lawan Boncos Pandemi,positif
3670,"b'@prastow Pajak buat orang kaya atas konsumsi barang mewah (mobil) dikurangi, dengan alasan meningkatkan konsumsi, pajak buat kebutuhan pokok rakyat dinaikan, biar konsumsinya turun gitu ? begitu berhembus berita gaji ASN mau dirombak (=dinaikan). Mau kalian itu apa sih Boss ?'",negatif
3096,"b'PAJAK NEGARA ZHALIM Ketika negara mendasarkan pendapatannya dari pajak dan utang, itu adalah sebuah kezaliman. Dalam Islam, pajak bukan sumber pendapatan utama, sebagaimana dalam sistem kapitalisme . Rokhmat S Labib !!!! @bima_kaffah",negatif
16444,b'@korantempo Kursus y gratis apa cm buang duit apbn gak jelas aja?',negatif
18411,"b'@NKRIJaya_ @SantorinisSun Sdh lah nies semakin ente berlari samakin bayangan ente mengikut lbh baik diam jgn bnyk keingian kami tau belang mu, pertanggungjwb kn APBD DKI selama bertugas hsl mh benar2 nol 0 putul dpt piagam ajz yg di belj di pasar'",negatif
14993,"b'Pemerintah juga sudah cukup baik dalam mengoptimalkan potensi daerah, dengan adanya program Agro Gemilang (ayo galakkan ekspor generasi millenial bangsa), wadah untuk anak muda turut andil dalam menjadi bagian dari petani muda sekaligus eksportir karena prospek yang menjanjikan.'",positif
6654,"b'Ah udah keluar pun tetap gak akan bisa jelasin.. kena PPN, sembako kena PPN... asing bebas pajak., logic ah mikir nya",negatif
6181,"b'Watyutink - Sri Mulyani Bakal Pungut Pajak Sembako, Politisi Demokrat: Dia Lupa Dulu Pernah Miskin",negatif
14873,b'Pemprov Jatim mendorong pertumbuhan ekspor sebagai percepatan pemulihan ekonomi dari dampak pandemi Covid-19. Salah satu langkahnya adalah mencari pasar di luar pasar utama yang selama ini disasar. #Nusantara #AdadiKompas,positif
6531,b'Ini Alasan Sri Mulyani Irit Bicara Soal Isi RUU KUP dan PPN Sembako,negatif
3498,b'@bertanyarl Semuanya aja anjing kena pajak. Apa perlu open bo jg kena pajak',negatif
4395,b'Kementerian Keuangan (Kemenkeu) menyatakan bahwa ekonom senior Rizal Ramli ngawur lantaran telah menyebarkan informasi yang salah mengenai penerbitan surat utang negara (SUN). Ramli',positif
8307,"b'Penguasa zalim,gemblung sableng, janji2 dulu manis dg kartu sembako murah, namun terasa pahit dilidah rakyat kita bukan orang kaya, coba pakai alasan yg bisa diterima akal sehat untuk memajaki sembako 12% itu sembako semuanya IMPORT #RezimBangkrut",negatif
15292,"b'Implementasi NLE di Belawan ini terbukti dapat mempercepat dan menekan proses ekspor dan impor sehingga layanan kepelabuhanan di Belawan menjadi lebih efektif, efisien, dan transparan.",positif
18711,b'Surat Edaran @kemendagri dgn LKPP mesti menjadi pendorong bagi seluruh pemerintah daerah utk sesegera mungkin mengoptimalkan belanja APBD. Keinginan pemerintah pusat mendongkrak ekonomi harus menjadi perhatian & diikuti pemangku kepentingan di daerah.,positif
4706,b'@mydayjajan_ wonpil kemenkeu yg mana sie nder ',negatif
4062,b'MPR RI: Kemenkeu Pandai Olah Angka Tapi Gagal Olah Rasa,negatif
11156,b'@fahiraidris Ya semoga kelak bisa menjadi menteri keuangan yg dapat membantu rakyat dan tidak membebani rakyat segala sembako dipajakin',negatif
3247,b'Tanda tanda kebangkrutan negara adalah dengan menetapkan pajak kepada org org yg tdk memiliki hak ketetapan itu. Kelas bawah kok dipajakin. Buat muterin usahanya aja kebingungan.',negatif
619,"b'Diskon PPnBM sampai agustus lalu digoreng dgn RUU PPN sembako, padahal itu insentif buat narik org kaya beli mobil supaya ekon berputar khusus disektor otomotif dan itu insentif berakhir des 2021 dan PPn sembako masih wacana'",positif
10737,"b'Yang ngutang Pemerintah yang dibebani Rakyat, yang menikmati elit. Dzalim apalagi Rezim ini ? #RezimDzalim #RezimPenjahatHAM",negatif
11142,"b'@republikwayang ah oposisi yg ga pinter mmg sukanya cari panggung pencitraan. kalau pemerintah saat ini ga ada hoax & pencitraan apalagi ngeles. Menteri keuangan saat ini lebih jantan dari laki , sportif, tdk berdalih tapi optimis bisa menyelesaikan & penuh solusi.'",positif
14714,"b'Sebagaimana sering dibahas pack stafcus, negeri kita tercinta emang mengalami problem di penerimaan. Ini ga cuma sejak kopit tapi really sejak ekspor melemah. Sementara yang minta didanai tambah banyak '",negatif
19778,"b'@geloraco Pajak yg kita bayar untuk gaji aparat dan pejabat negara yg jujur dan berlaku adil kita iklas. pajak yg di bayar rakyat untuk mencicil hutang negara yg tdk di korupsi rakyat juga iklas,, tapi bila sebaliknya maka rakyat berharap alloh segara musnahkan para pejabat yg korup..'",positif
10940,"b'Per Hari Ini, Pencairan Gaji ke-13 Sudah Capai Rp11,2 Triliun: Direktorat Jenderal perbendaharaan Kementerian Keuangan (Kemenkeu) mencatat realisasi pembayaran gaji ke-13 hingga pagi ini sudah mencapai Rp11,2 triliun. Adapun kebutuhan total anggaran gaji",positif
1396,b'@Indraworo @DitjenPajakRI Rencana perubahan kedepan tarif PPN tidak lagi tunggal menjadi multi tarif.',negatif
7258,b'Ditjen Pajak Ungkap Alasan Pemerintah Ingin Terapkan Pajak pada Sembako dan Jasa Pendidikan,positif
6711,b'Sambil gebrak meja ga pak /bu Dewan nanyanya....?,negatif
9815,b'Pentingnya perluasan basis PPN karena kinerja perpajakan yang cenderung masih rendah. #PPN #Pajak,positif
2159,"b'Kepolisian RI dibiayai dgn uang rakyat lho, ya tugasnya lindungi masyarakat dan bukan lindungi preman Bpk Sigit Kapolri yth. Rakyat sudah bersedia dipotong/bayar pajak dan yg lain. Berantas dong Preman di seluruh Indonesia jangan diam kayak palu kalau diketok Presiden baru gerak'",negatif
14244,b'MPR minta Pemerintah hentikan ketergantungan impor alat,negatif
18069,"b'Watyutink - Diguyur Dana APBN, Peringkat Perguruan Tinggi Indonesia Justru Melorot",negatif
8447,b'Praktisi: Penerapan Pajak Sembako dan Jasa Pendidikan Timbulkan Kesulitan Baru: Ronsianus tidak setuju dengan apa yang disampaikan oleh Staf ahli Menteri Keuangan Yustinus Prastowo bahwa pengenaan PPN terhadap sembako dan jasa pendidikan akan,negatif
16239,b'@Pencerah__ @jokowi Harusnya jgn jakarta muluu...buat juga ke daerah laen...jakarta cuma menghabiskan apbn dowang.... ',negatif
20083,b'@CNNIndonesia Secara tidak langsung rakyat membantu membayar hutang negara dengan yg dikit dikit duit dan pajak pajak',negatif
11295,b'@leon_antrhaxz @AndriansyahAh_5 @kartikaicha18 @Hudakeyy @detikcom Presiden dan Menteri Keuangan terbaik sejagad raya...,positif
984,"b'Watyutink - Soroti Pajak Sembako, Tokoh NU Usul Buzzer Kena PPN",negatif
8885,b'@gobeth4 @PKSejahtera @FPKSDPRRI @psi_id Haji aja di fitnah aplg sembako?? Mikir,negatif
10307,"b'Bagi wajib pajak yang ingin mengundang narasumber dari Direktorat Jenderal Pajak sebagai pembicara perpajakan, #KawanPajak bisa mengikuti tata cara yang ada di infografis berikut. #PajakKitaUntukKita",positif
6254,"b'Sri Mulyani Tak Menduga Draf PPN Sembako Bocor ke Publik, Buruh: Ini Sifat Kolonialisme Penjajah lewat @tribunnews'",negatif
411,"b' Sebagai contoh, konsumsi beras premium dan beras biasa, sama-sama tidak kena PPN; konsumsi daging segar wagyu di supermarket dan daging segar di pasar tradisional sama-sama tidak kena PPN; les privat berbiaya tinggi dan pendidikan gratis sama-sama tidak kena PPN;...'",positif
8757,b'Sambil menyiapkan strategi ppn bagi sembako dan pendidikan?,negatif
9720,b'UU Perpajakan direvisi bikin harga sembako sebentar lagi naik kena PPn?? - Bersatu Indonesia Kuat,negatif
7454,"b'Reaksi Pedagang soal Wacana Pemberlakuan Pajak untuk Sembako, Tuai Kritik di Tengah Situasi Pandemi",negatif
11075,"b'JK sebut Lizal lamli gede bacot, banyak omong tapi tidak tahu apa"" dan tidak bisa jadi pemimpin. lamli merasa dijegal jadi menteri keuangan. dijegal golbok!! kamu gak pantas jadi pemimpin, doang gede tapi gak punya prestasi.",negatif
5823,b'Menkeu meminta kepada Komisi XI DPR RI agar ikut membantu pemerintah dalam mengawal berbagai anggapan miring tersebut. Jangan sampai hal tersebut kemudian menjadi bola liar dan diterima mentah-mentah oleh masyarakat,positif
7188,b'Masyarakat Tak Termakan Hoaks soal PPN Sembako Nusantara,positif
19485,b'@Santi_nya Mikirin hutang negara sja',negatif
19733,"b'katanya jago dalam mengelola keuangan negara buktinya hutang nambah membengkak seperti gunung. Modal nangis ,dan modal kerja di bank imf hasilnya hutang.'",negatif
2606,b'Sembako mau d pajak? jd gk ad tempe harga 1000. anak kos',negatif
12719,"b'@Iorentia @brigittakimi Setelah selesai hitung-hitungan sembako, ternyata bapack Ale datang lagi guys. ""Beli sapi dong 1 ekor, sampi impor Australia ya. Nanti dipotong terus dibagiin ke orang-orang"", kata Ale. bapack-bapack ini jinjja aneh.'",negatif
7113,b'Penerapan PPN sembako pendidikan dan kesehatan bukan untuk saat ini Nusantara,negatif
17813,"b'@NovalAssegaf Wowww, disaat negara Krisis Defisit bunga utang saja dgn utang baru??? rakyat disuruh bersyukur dgn bantuan 300rb. *Dimana Pancasila kalian : Keadilan sosial bagi seluruh rakyat Indonesia.'",negatif
495,b'mobil yg jelas digunakan oleh orang kaya ppnbm nya dihapus terus mau buat aturan sembako bakal dikenakan ppn dgn alasan banyak di konsumsi orang kaya lue pikir orang miskin itu makannya pake pasir apa?',negatif
11532,b'@strike_bravo_b Mulai naik agak gede di era sri mul jadi menteri keuangan tapi makin gila naiknya semenjak pandemi. Eh tapi srimul juga menteri jaman pak beye tapi utang malah turun ',negatif
8086,"b'@simonkjaer1989 Kapten Tim Soccer Demark berjiwa pemimpin sejati. Saat anggota timnya, Eriiksen jatuh kolaps dilapangan. Ia responsif, cepat menolong dan beri solusi. Ibarat Pemimpin cepat tanggap tehadp rakyat yg lagi susah, bukan malah bebani dng pajak sembako. #PajakSembako",negatif
20571,"b'@CNNIndonesia Resiko terlalu banyak hutang luar negeri, sekedar bayar bunganya aja sampai 300 T. Pada akhirnya semua dipajaki saat kas negara sedang minus.'",negatif
2292,"b'Pdt Willem TP #Simarmata menilai rencana pemerintah untuk mengadakan Pajak Pertambahan Nilai atas Sekolah dan produk pertanian, perikanan, peternakan, dan lain sejenisnya tidak pro rakyat",negatif
3405,"b'@prastow Ppn sembako.. 1kg beras 10rb+ppn12% =12.200 yang lain nya, tidak maslah kalau keadaan ekonomi sejahtera. Pngangguran meraja lela, harga bahan pokok naik, +ppn12% tidak bahaya.? orang kaya bebas pajak kendaraan, orang miskin terjepit ppn12%'",negatif
